Res,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  Python uses ______ to create private class members.
 Answer: ",Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,4,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  A ______ in Python is an iterable that returns elements one at a time.
 Answer: ",ĠIterator,ĠGenerator,ĠGenerator,ĠGenerator,ĠGenerator,ĠGenerator,ĠGenerator,ĠGenerator,ĠGenerator,ĠA,ĠA,ĠGenerator,ĠA,ĠA,ĠIterator,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  To access a private member in Python, we use the syntax ______.
 Answer: ",Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġself,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,ĠAccess,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠThe,ĠTo,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The method ______ checks if all elements in an iterable are True.
 Answer: ",Ġall,Ġall,Ġall,Ġall,Ġall,Ġall,Ġall,Ġall,ĠAll,Ġall,ĠTrue,ĠTrue,Ġall,ĠNone,ĠNone,ĠNone,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The ______ method adds all elements of a list to a set.
 Answer: ",ĠUnion,ĠUnion,ĠThe,ĠUnion,ĠUnion,ĠUnion,ĠUnion,ĠUnion,ĠUnion,ĠUnion,ĠUnion,ĠUnion,ĠUnion,ĠThe,ĠAddition,ĠThe,ĠThe,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ keyword is used to define a coroutine.
 Answer: ",Ġyield,Ġyield,Ġyield,Ġyield,Ġyield,Ġyield,Ġyield,Ġyield,Ġyield,Ġdef,Ġdef,Ġyield,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,4,1,1,1,1,1,ellen
"Using Answer Using one word only :  To install Python, we download it from the website ______.
 Answer: ",Ġpython,ĠPython,ĠPython,Ġhttps,Ġhttps,Ġhttps,Ġhttps,Ġhttps,Ġwww,Ġwww,Ġwww,Ġwww,ĠPython,Ġwww,Ġwww,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠThe,ĠTo,1,2,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python uses the ______ keyword to return a value from a function.
 Answer: ",Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġreturn,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,4,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The function ______ is used to list all files in a directory.
 Answer: ",Ġls,Ġls,Ġls,Ġls,Ġls,Ġls,Ġls,Ġls,Ġls,Ġls,Ġls,Ġlist,Ġlist,ĠList,Ġlist,Ġ__,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  To check the memory address of an object, we use the function ______.
 Answer: ",Ġ&,Ġ&,Ġ&,Ġ&,Ġ&,Ġ&,Ġ__,Ġ__,Ġ__,ĠAddress,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠThe,ĠTo,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The ______ module in Python is used for mathematical operations.
 Answer: ",Ġmath,Ġmath,Ġmath,Ġmath,Ġmath,Ġmath,Ġmath,Ġmath,Ġmath,Ġmath,Ġmath,Ġmath,ĠMath,ĠMath,ĠMath,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ function evaluates if any elements in an iterable are True.
 Answer: ",Ġany,Ġany,Ġany,Ġany,Ġany,Ġany,Ġany,Ġany,Ġany,Ġany,ĠTrue,ĠFalse,Ġ`,ĠNone,ĠNone,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,Âł,ĠPython,1,Ġ,2,Âł,2,1,1,1,ellen
"Using Answer Using one word only :  The ______ method returns the index of the first occurrence of a value in a list.
 Answer: ",ĠIndex,Ġindex,Ġindex,Ġindex,ĠIndex,ĠIndex,ĠIndex,ĠThe,Ġ,Ġ`,ĠThe,ĠSearch,ĠFind,ĠFind,ĠFind,ĠFind,ĠFind,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  To add comments in Python, we use the symbol ______.
 Answer: ",Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,Ġ#,ĠNone,ĠA,ĠTo,ĠTo,ĠTo,ĠTo,ĠThe,ĠTo,1,2,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ function returns the maximum value in an iterable.
 Answer: ",Ġmax,Ġmax,Ġmax,Ġmax,Ġmax,Ġmax,Ġmax,Ġmax,Ġmax,Ġmax,Ġmax,Ġmax,Ġmax,Ġmax,Ġ__,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,Âł,ĠPython,Âł,Ġ,4,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The keyword ______ is used to declare a static method in Python.
 Answer: ",Ġdef,Ġdef,Ġdef,Ġ@,Ġ@,Ġ@,Ġ@,Ġdef,Ġdef,Ġdef,Ġstatic,Ġdef,Ġdef,Ġ__,Ġ__,Ġ__,ĠNone,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  To reverse a string in Python, we use slicing with ______.
 Answer: ",Ġreverse,Ġreverse,Ġ[,Ġ[,Ġslicing,Ġreverse,Ġreversed,Ġreversed,Ġreversed,Ġreversed,Ġreverse,Ġreversed,Ġreversed,Ġslicing,Ġreversed,Ġstr,Ġ,ĠA,ĠTo,ĠTo,ĠTo,ĠTo,ĠThe,ĠTo,1,2,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  A variable defined inside a function in Python is called a ______ variable.
 Answer: ",Ġlocal,Ġlocal,Ġlocal,Ġlocal,Ġlocal,Ġlocal,Ġlocal,Ġlocal,Ġlocal,Ġlocal,Ġlocal,Ġlocal,Ġlocal,Ġlocal,Ġlocal,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,1,ĠA,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The ______ operator is used to perform bitwise AND in Python.
 Answer: ",Ġ&Ċ,Ġ&,Ġ&,Ġ&,Ġ&,Ġ&,Ġ&,Ġ&,Ġ&,Ġ&,Ġ&,Ġ#,Ġ#,Ġ#,Ġ#,ĠBit,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The method ______ removes a key-value pair from a dictionary.
 Answer: ",Ġpop,Ġpop,Ġpop,Ġpop,Ġpop,Ġpop,Ġdel,Ġdel,Ġ#,Ġdel,ĠRemove,ĠRemove,ĠRemove,ĠRemove,Ġremove,ĠRemove,ĠRemove,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python’s ______ module is used to work with CSV files.
 Answer: ",Ġcsv,Ġcsv,Ġcsv,Ġcsv,Ġcsv,Ġcsv,Ġcsv,Ġcsv,Ġcsv,Ġimport,Ġimport,Ġimport,Ġimport,Ġimport,ĠData,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,Âł,Ġ,Âł,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The method ______ appends a new line to a file in Python.
 Answer: ",Ġwrite,Ġwrite,Ġwrite,Ġwrite,Ġwrite,Ġwrite,Ġappend,Ġappend,Ġappend,Ġappend,Ġappend,ĠWrite,ĠWrite,Ġ__,ĠWrite,ĠWrite,ĠWrite,Ġ__,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  To generate a range of numbers, we use the function ______.
 Answer: ",ĠRAND,ĠR,ĠR,ĠR,ĠR,ĠR,Ġ`,Ġ`,Ġ`,ĠRandom,ĠTo,ĠTo,ĠTo,ĠTo,ĠRange,ĠFunctions,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠThe,ĠTo,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ method converts a set into a list.
 Answer: ",Ġlist,Ġlist,Ġlist,Ġlist,Ġlist,Ġlist,Ġlist,Ġlist,Ġlist,Ġlist,Ġlist,Ġlist,Ġlist,Ġ__,Ġlist,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,Âł,ĠPython,1,Ġ,2,2,1,1,1,1,ellen
"Using Answer Using one word only :  The ______ method in Python is used to convert a list into a set.
 Answer: ",Ġfro,1,ĠThe,ĠThe,ĠThe,ĠThe,ĠSet,ĠSet,ĠSet,ĠSet,ĠSet,ĠSet,Ġfro,Ġ__,ĠNone,Ġ__,Ġ__,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  To unpack arguments into a function, we use the ______ operator.
 Answer: ",Ġunpack,Ġunpack,Ġunpack,Ġunpack,Ġ*,Ġ*,Ġ*,Ġ*,Ġ*,Ġ**,Ġ**,Ġ**,Ġ**,Ġunpack,Ġ__,Ġ__,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,Âł,ĠTo,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  To unpack keyword arguments into a function, we use the ______ operator.
 Answer: ",Ġunpack,Ġ*,Ġstar,Ġ*,Ġ**,Ġ**,Ġ**,Ġ**,Ġ**,Ġ**,Ġ**,Ġ**,Ġ**,Ġ**,Ġ__,Ġ__,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,Âł,ĠTo,1,2,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ module is used for creating temporary files.
 Answer: ",Ġtempfile,Ġtempfile,Ġtempfile,Ġtempfile,Ġtempfile,Ġtempfile,Ġtempfile,Ġtempfile,Ġtempfile,Ġtempfile,Ġtempfile,Ġtempfile,ĠTemporary,Ġ__,ĠTemporary,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,Ġ,Ġ,4,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The method ______ joins elements of a list into a string.
 Answer: ",Ġjoin,Ġjoin,Ġjoin,Ġjoin,Ġjoin,Ġjoin,Ġjoin,Ġ.,Ġjoin,Ġjoin,Ġ\,ĠJoin,ĠConcat,ĠJoin,Ġjoin,ĠString,ĠString,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python uses ______ to catch multiple exceptions in a single block.
 Answer: ",Ġtry,Ġtry,Ġtry,Ġtry,Ġtry,Ġtry,Ġtry,Ġtry,Ġtry,Ġtry,Ġtry,Ġ`,Ġ`,ĠException,ĠException,ĠPython,ĠMultiple,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,2,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The ______ method removes trailing characters from a string.
 Answer: ",Ġrtrim,Ġtrim,Ġtrim,Ġtrim,Ġtrim,ĠTr,Ġtrim,Ġtrim,Ġtrim,Ġtrim,Ġtrim,Ġtrim,ĠTrim,ĠTrim,ĠTrim,ĠTrim,ĠC,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ module is used to execute system commands.
 Answer: ",Ġos,Ġos,Ġsubprocess,Ġsubprocess,Ġsubprocess,Ġsubprocess,Ġsubprocess,Ġsubprocess,Ġsubprocess,Ġsubprocess,Ġexec,Ġsubprocess,Ġsubprocess,ĠSystem,ĠBuilt,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,4,1,1,1,1,1,ellen
"Using Answer Using one word only :  The ______ method is used to split a string by line breaks.
 Answer: ",Ġsplit,Ġsplit,ĠThe,ĠThe,ĠSplit,ĠSplit,ĠSplit,ĠSplit,ĠSplit,ĠSplit,ĠThe,ĠSplit,ĠSplit,ĠThe,ĠThe,ĠThe,ĠThe,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  A Python package is a collection of ______.
 Answer: ",ĠModules,Ġmodules,ĠA,Ġmodules,Ġmodules,Ġmodules,Ġmodules,Ġmodules,Ġmodules,Ġmodules,Ġmodules,Ġmodules,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  To convert an object into a string representation, we use the method ______.
 Answer: ",ĠtoString,ĠtoString,ĠtoString,ĠtoString,ĠtoString,ĠtoString,ĠtoString,ĠtoString,ĠtoString,ĠToString,ĠTo,ĠTo,ĠToString,ĠToString,ĠToString,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠThe,ĠTo,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python uses the ______ method to read binary files.
 Answer: ",ĠBinary,Ġread,Ġread,Ġread,Ġread,ĠRead,ĠRead,ĠRead,ĠRead,ĠRead,ĠRead,ĠRead,ĠRead,ĠRead,ĠRead,Ġ__,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,4,1,1,1,1,1,ellen
"Using Answer Using one word only :  The ______ method is used to update multiple keys in a dictionary.
 Answer: ",ĠUpdate,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠUpdate,ĠThe,ĠUpdate,ĠUpdate,ĠUpdate,ĠUpdate,ĠThe,ĠThe,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  A ______ error occurs when accessing a variable that has not been initialized.
 Answer: ",ĠUn,ĠUn,ĠUn,ĠUn,ĠUn,ĠUn,ĠUn,ĠUn,ĠUn,ĠUn,ĠUn,ĠUndefined,ĠUndefined,ĠUndefined,ĠUndefined,ĠC,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,1,1,1,1,1,ellen
"Using Answer Using one word only :  The ______ method in Python is used to pop an element from a list by index.
 Answer: ",Ġpop,Ġpop,Ġpop,Ġpop,Ġpop,Ġpop,Ġpop,Ġpop,Ġpop,Ġpop,Ġpop,ĠRemove,Ġ__,Ġ__,Ġ__,Ġ__,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ module is used to work with command-line arguments.
 Answer: ",Ġsys,Ġsys,Ġsys,Ġsys,Ġsys,Ġsys,Ġsys,Ġsys,Ġsys,Ġsys,Ġsys,ĠArgument,ĠArgument,ĠArgument,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,4,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The ______ function in Python returns the quotient and remainder of division.
 Answer: ",Ġfloor,Ġdiv,Ġdiv,Ġdiv,Ġ`,Ġ//,Ġ__,Ġ__,Ġdiv,Ġ__,Ġ__,ĠMath,Ġdivision,ĠDiv,ĠDivision,ĠDiv,ĠDiv,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  A Python ______ is used to manage multiple threads.
 Answer: ",ĠThread,ĠA,ĠA,ĠThread,ĠThread,ĠThread,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,1,1,1,1,1,ellen
"Using Answer Using one word only :  The method ______ converts a float to an integer in Python.
 Answer: ",Ġfloor,Ġint,Ġint,Ġint,Ġint,ĠThe,Ġint,Ġint,Ġround,Ġ__,Ġ__,Ġfloor,Ġfloor,Ġ__,ĠInteger,Ġ__,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python uses the ______ method to remove duplicates from a string.
 Answer: ",Ġstrip,ĠPython,Ġfilter,ĠPython,ĠPython,ĠRemove,Ġ,Ġ,Ġ,ĠPython,Ġ,Ġ__,ĠPython,ĠPython,ĠPython,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,4,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The function ______ returns the ASCII value of a character in Python.
 Answer: ",Ġord,Ġord,Ġord,Ġord,Ġord,Ġord,Ġord,Ġord,Ġord,Ġord,Ġord,Ġord,Ġord,Ġ__,Ġ,Ġ__,Ġ__,ĠA,Ġ\,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ function converts an ASCII value to a character.
 Answer: ",Ġchr,Ġchr,Ġchr,Ġchr,Ġchr,Ġchr,Ġchr,Ġord,Ġord,Ġchr,Ġchr,Ġchr,Ġchr,Ġ__,Ġchr,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,4,2,1,1,1,1,ellen
"Using Answer Using one word only :  To define an infinite iterator in Python, we use the ______ module.
 Answer: ",Ġitertools,Ġitertools,Ġitertools,Ġitertools,Ġitertools,Ġitertools,Ġ__,Ġitertools,Ġitertools,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,ĠNone,ĠPython,ĠTo,ĠTo,ĠTo,ĠTo,Âł,ĠTo,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ function is used to shuffle a list.
 Answer: ",Ġshuffle,Ġshuffle,Ġshuffle,Ġshuffle,Ġshuffle,Ġshuffle,Ġshuffle,Ġshuffle,Ġshuffle,Ġshuffle,Ġshuffle,Ġshuffle,Ġrandom,ĠRandom,ĠRandom,ĠRandom,ĠRandom,ĠPython,ĠPython,ĠPython,Âł,ĠPython,Âł,ĠPython,1,Ġ,4,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  To copy a file in Python, we use the ______ module.
 Answer: ",Ġshutil,Ġshutil,Ġshutil,Ġshutil,Ġshutil,Ġshutil,Ġshutil,Ġshutil,Ġshutil,Ġshutil,Ġshutil,Ġshutil,ĠFile,ĠFile,ĠFile,ĠFile,ĠFile,ĠPython,ĠTo,ĠTo,ĠTo,ĠTo,ĠThe,ĠTo,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The method ______ checks if a string starts with a specified prefix.
 Answer: ",Ġstarts,Ġstarts,Ġstarts,Ġstarts,Ġstarts,Ġstarts,Ġstarts,Ġstarts,Ġstarts,Ġstarts,Ġstarts,Ġstarts,ĠString,Ġ`,ĠCheck,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ function creates a deque object.
 Answer: ",Ġdeque,Ġcollections,Ġcollections,Ġcollections,Ġdeque,Ġdeque,Ġdeque,Ġdeque,Ġdeque,Ġdeque,Ġ__,Ġdeque,Ġ__,Ġcreate,Ġ__,Ġ__,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,4,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  A Python set is a collection of ______ items.
 Answer: ",Ġunique,Ġunique,Ġunique,Ġunique,Ġunique,Ġunique,Ġunique,Ġunique,Ġdistinct,Ġdistinct,Ġunique,Ġdistinct,1,1,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python uses the ______ keyword to yield control back to the caller.
 Answer: ",Ġyield,Ġyield,Ġyield,Ġyield,Ġyield,Ġyield,Ġyield,Ġyield,Ġreturn,Ġreturn,Ġreturn,Ġreturn,Ġ__,Ġ__,Ġreturn,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,4,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The ______ method adds elements to the left of a deque.
 Answer: ",Ġpush,Ġpush,ĠL,Ġpush,Ġpush,Ġpush,Ġpush,Ġpush,Ġpush,Ġpush,Ġpush,Ġpush,Ġfront,ĠPush,Ġpush,ĠAddition,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ function checks the size of an object in memory.
 Answer: ",Ġid,Ġid,Ġid,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġsize,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,2,Ġ,4,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  To implement a singleton class in Python, we use the ______ design pattern.
 Answer: ",ĠSingleton,1,Ġsingleton,Ġ**,Ġ**,ĠSingleton,ĠSingleton,ĠSingleton,ĠSingleton,ĠSingleton,ĠSingleton,ĠSingleton,ĠSingleton,ĠSingleton,ĠSingleton,ĠSingleton,Ġ__,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠThe,ĠTo,1,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The method ______ is used to decode a byte string in Python.
 Answer: ",Ġdecode,Ġdecode,Ġdecode,Ġdecode,Ġdecode,Ġdecode,Ġdecode,Ġdecode,Ġdecode,Ġdecode,Ġdecode,Ġ__,Ġdecode,Ġ__,Ġdecode,Ġ__,ĠCode,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  Python's ______ module is used to generate UUIDs.
 Answer: ",Ġuuid,Ġuuid,Ġuuid,Ġuuid,Ġuuid,Ġuuid,Ġuuid,Ġuuid,Ġuuid,Ġuuid,Ġuuid,Ġuuid,Ġuuid,ĠBuilt,ĠBuilt,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,Âł,Ġ,Âł,1,1,1,1,1,ellen
"Using Answer Using one word only :  To check if a file exists, we use the ______ module in Python.
 Answer: ",Ġos,Ġos,Ġos,Ġos,Ġos,Ġos,Ġos,Ġos,Ġos,Ġos,Ġos,ĠFile,ĠFile,ĠFile,ĠFile,ĠFile,ĠFile,ĠPython,ĠTo,ĠTo,ĠTo,ĠTo,ĠThe,ĠTo,2,2,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python's ______ method is used to round a number to the nearest integer.
 Answer: ",Ġround,Ġround,Ġround,Ġ__,Ġround,Ġround,Ġ__,Ġ__,Ġround,Ġround,Ġ__,Ġround,Ġround,Ġ__,Ġ__,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,Âł,ĠPython,Âł,Ġ,4,Âł,3,1,1,1,ellen
"Using Answer Using one word only :  The ______ method converts a string to a date in Python.
 Answer: ",Ġstr,Ġstr,Ġstr,Ġstr,Ġstr,Ġstr,Ġstr,Ġstr,Ġstr,Ġ#,ĠThe,ĠThe,ĠThe,Ġ__,ĠConvert,ĠDate,ĠNone,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  To install Python packages offline, we use the command ______.
 Answer: ",Ġpip,Ġpip,Ġpip,Ġpip,Ġpip,Ġpip,Ġpip,Ġpip,Ġpip,Ġpip,Ġpip,Ġpip,Ġpip,Ġpip,Ġinstall,ĠInstall,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,ĠThe,ĠTo,1,2,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Python uses the ______ module to compress files.
 Answer: ",Ġzlib,Ġgzip,Ġgzip,Ġgzip,Ġgzip,Ġgzip,Ġgzip,Ġzlib,Ġzlib,Ġzlib,Ġgzip,Ġzlib,Ġzlib,Ġ__,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,Âł,ĠPython,1,Ġ,4,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The ______ method in Python duplicates the contents of a list.
 Answer: ",ĠCopy,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġcopy,ĠList,ĠList,Ġcopy,ĠCopy,Ġcopy,ĠCopy,ĠCopy,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  To compare two strings in Python, we use the ______ operator.
 Answer: ",Ġ==,Ġ==,Ġ==,Ġ==,Ġ==,Ġ==,Ġ==,Ġ==,Ġ==,Ġ==,Ġ==,Ġ==,ĠCompare,ĠCompare,Ġcompare,ĠComparison,ĠComparison,ĠTo,ĠTo,ĠTo,ĠTo,ĠTo,Âł,ĠTo,2,2,2,1,1,1,1,1,ellen
