Question,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  To open a file in Python, the function ______ is used.
 Answer: ",Ġopen,Ġopen,Ġopen,open,Opening,inha,libraries,isz,wert,icals,xit,íķ©,_cast,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses ______ to indicate a block of code.
 Answer: ",Ġblock,Ġblock,Ġblock,Ġcode,ä»£çłģ,Ã³r,ANGE,IFF,itra,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A tuple in Python is enclosed in ______.
 Answer: ",Ġtuple,Ġ(,Ġtuple,Ġtuple,Ġtuple,aca,ONA,isz,itra,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To convert a string to an integer, we use the function ______.
 Answer: ",ĠparseInt,ĠConvert,ĠparseInt,ĠparseInt,atoi,fÃ¶r,ROUND,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ function in Python returns a list of all attributes and methods of an object.
 Answer: ",Ġ__,ĠThe,Ġhasattr,Ġhasattr,Ġiterable,Å¾en,ĠAPIs,isz,itra,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ converts a string to lowercase.
 Answer: ",Ġconvert,Ġlower,Ġlowercase,Ġlowercase,Ġlowercase,inha,inha,Ø§Ú©ÛĮ,ursive,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ splits a string into a list in Python.
 Answer: ",Ġsplit,Ġsplit,Ġsplit,split,Ġslicing,Ä¾,INST,Ġdors,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To combine two lists in Python, we use the operator ______.
 Answer: ",Ġ+Ċ,Ġ+,ĠConcat,JOIN,Ġunion,íķ©,íķ©,Ġdors,wert,icals,lete,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A Python generator is created using the keyword ______.
 Answer: ",Ġyield,Ġyield,Ġgenerator,Ð³ÐµÐ½,Ġiterable,ä¾ĭ,INST,isz,itra,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To iterate over two sequences simultaneously in Python, we use ______.
 Answer: ",Ġzip,Ġzip,Ġitertools,Ġitertools,Ġitertools,Ġiterators,PAIR,kov,itra,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A Python function can return multiple values using ______.
 Answer: ",Ġtuple,ĠA,Ġtuple,Ġtuple,Ġtuple,either,ANGE,Ø´Øª,itra,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ replaces occurrences of a substring in a string.
 Answer: ",Ġreplace,ĠReplace,Ġsubstring,ĠReplace,Ġsubstitution,Ä¾,ĠBlitz,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To raise a number to a power in Python, we use the operator ______.
 Answer: ",Ġ**Ċ,Ġpower,Ġpower,Ġmultiplication,Ġmultiplication,Å¾en,ahkan,kov,wert,icals,lete,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ keyword is used to define an abstract method in a Python class.
 Answer: ",Ġabstract,ĠThe,Ġsuperclass,Ġsuperclass,Ġsuperclass,Ġcasting,ument,å±±å¸Ĥ,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses the ______ keyword for conditional execution.
 Answer: ",Ġif,ĠTrue,Ġelif,Conditional,Ġloops,Å¾en,ument,IFF,itra,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ function in Python creates an immutable set.
 Answer: ",Ġimmutable,Ġset,Ġset,HAS,Ġtuple,Ã³m,INST,IFF,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To check the type of an object in Python, we use the function ______.
 Answer: ",Ġisinstance,Ġisinstance,Ġisinstance,Ġisinstance,Ġisinstance,classify,ument,isz,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ checks if a string ends with a specified suffix.
 Answer: ",Ġcheck,Ġcheck,Ġsubstring,ĠChecks,ĠChecks,ĠRegExp,anggal,ovsky,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses the function ______ to convert a list into a tuple.
 Answer: ",Ġtuple,Ġtuple,Ġtuple,Ġtuple,Ġtuple,LIN,INST,IFF,itra,icals,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To perform floor division in Python, we use the operator ______.
 Answer: ",Ġ//,Ġ//,"Ġ""//",Ġdivision,Ġmultiplication,Å¯vodu,Ġcommissioner,kov,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ method is used to add a key-value pair to a dictionary.
 Answer: ",Ġadd,ĠAdd,ĠaddItem,ĠaddTo,ĠaddTo,Å¾en,PAIR,bv,wert,icals,idth,íķ©,_cast,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To check if a key exists in a dictionary, we use the keyword ______.
 Answer: ",Ġexists,Ġexists,ĠExists,HAS,cheid,Å¾en,ocks,isz,wert,icals,idth,íķ©,Ġparadox,ously,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ function is used to find the smallest element in a list.
 Answer: ",Ġmin,Ġmin,Ġmin,Ġsmallest,Ġsmallest,Ã³m,ska,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python's ______ function sorts a list in ascending order.
 Answer: ",Ġsort,Ġsorted,Ġsorted,sorted,sorted,sorted,INST,bv,wert,icals,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The keyword ______ is used to inherit from a parent class.
 Answer: ",Ġextends,Ġsuper,Ġsuperclass,ç»§,ç»§,ç»§,urdu,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To convert a string to a float, we use the function ______.
 Answer: ",Ġfloat,Ġconvert,Ġatof,ĠConversion,ĠConversion,inha,ska,isz,wert,icals,lete,íķ©,Ġparadox,ously,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A Python script starts execution from the block if __name__ == ""______"":.
 Answer: ",Ġ__,ĠA,Ġpython,ä¾ĭ,namen,namen,namen,Ġdors,ska,lete,lete,íķ©,_cast,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ function in Python is used to generate random numbers.
 Answer: ",Ġrandint,Ġrandom,Ġrandom,Ġrandomness,random,Ä¾,ANGE,isz,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The function ______ returns the absolute value of a number in Python.
 Answer: ",Ġabs,Ġabs,Ġabs,Ġabs,Å¡k,Positive,ska,kov,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses the ______ function to read all lines from a file.
 Answer: ",Ġreadline,Ġfile,ĠreadFile,ĠreadFile,ĠreadFile,inha,Äįin,ĠØ§ÙĦØ¨ÙĬ,itra,icals,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To write to a file in Python, we use the mode ______.
 Answer: ",Ġwrite,Ġmode,Ġmode,ĠWrite,ĠWrite,Plain,andin,isz,wert,icals,idth,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses ______ to make HTTP requests.
 Answer: ",ĠPython,Ġrequests,ĠHTTP,ĠRequests,Ġpython,fÃ¶r,INST,IFF,itra,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The function ______ creates a new empty dictionary.
 Answer: ",Ġcreate,Ġcreate,ĠCreate,ĠCreate,Ġdictionaries,Å¾en,ument,Ġdors,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To add a delay in a Python program, we use the method ______.
 Answer: ",Ġsleep,Ġwait,Ġawait,ĠWait,andi,inha,ument,Ġdors,wert,icals,lete,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses the ______ method to capitalize the first character of a string.
 Answer: ",Ġcapitalize,Ġcapitalize,Ġuppercase,capital,UpperCase,Ð³Ð°ÑĢ,anggal,isz,itra,icals,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ removes leading whitespace from a string in Python.
 Answer: ",Ġtrim,Ġremove,rstrip,Ġstripping,Ġstripping,ahkan,ovÃŃ,kov,wert,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ operator is used for string concatenation in Python.
 Answer: ",Ġ+Ċ,Ġconcaten,Ġconcaten,ĠConcat,Ġconcaten,andi,ĠAPIs,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To define a lambda function in Python, we use the keyword ______.
 Answer: ",Ġlambda,Ġlambda,Ġlambda,Ġlambda,Ġlambda,Å¾en,ument,Ġdors,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A Python set does not allow ______ values.
 Answer: ",Ġduplicates,ĠA,ĠAllowed,ÅĽcie,Neither,Ã³m,Ã³ln,isz,itra,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python's ______ module provides functions for regular expressions.
 Answer: ",Ġre,Ġre,Ġregular,ĠPython,ĠPython,UCE,ument,IFF,wert,icals,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To iterate over a dictionary, we use the method ______.
 Answer: ",Ġfor,Ġfor,Ġiterating,Ġiterating,Ġiterators,Å¾en,ument,isz,ibli,icals,lete,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ method converts all characters in a string to uppercase.
 Answer: ",ĠUPPER,Ġuppercase,Ġuppercase,Ġuppercase,Ġuppercase,IFF,ĠBlitz,kov,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ operator checks for object identity in Python.
 Answer: ",Ġ==Ċ,Ġ==,Ġequality,Ġequality,Ġequality,Ã³m,INST,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python's ______ keyword is used to declare a constant.
 Answer: ",Ġ__,Ġconstant,global,constant,THON,ĠÐłÐ°Ð´Ð¸,ument,ĠØ§ÙĦØ¨ÙĬ,wert,Ġclassics,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A Python program ends execution using the method ______.
 Answer: ",Ġbreak,Ġbreak,exit,quit,terminate,terminated,Ġtermination,classic,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To merge two dictionaries in Python 3.9+, we use the operator ______.
 Answer: ",Ġmerge,Ġoperator,Ġunion,union,Ġunion,íķ©,íķ©,Ġdors,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ function is used to dynamically execute Python expressions.
 Answer: ",Ġeval,Ġdynamically,eval,ÄĽt,ÄĽt,Å¾en,INST,isz,itra,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses the ______ module for working with JSON.
 Answer: ",Ġjson,Ġjson,ĠJSON,ĠJSON,ĠJSON,Toolkit,ument,IFF,itra,icals,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To remove duplicate elements from a list, we can convert it to a ______.
 Answer: ",ĠSet,ĠSet,ĠHeap,ĠList,Ġlist,onto,ĠØ§ÙĦØ¨ÙĬ,ĠØ§ÙĦØ¨ÙĬ,itra,icals,idth,íķ©,_cast,ously,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The keyword ______ in Python is used for asynchronous programming.
 Answer: ",Ġasync,Ġthreading,Ġasyncio,Ġthreading,Ġasynchronous,fÃ¶r,ĠAPIs,isz,itra,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The function ______ is used to calculate the sum of elements in an iterable.
 Answer: ",Ġsum,Ġsum,Ġsum,Ġsum,#NAME?,#NAME?,INST,classic,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses ______ to raise exceptions.
 Answer: ",ĠPython,ĠValueError,ĠRaise,ĠRaise,ĠExceptions,rikes,fÃ¶r,isz,itra,Ġclassics,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ keyword is used for documentation strings in Python.
 Answer: ",Ġdoc,ĠThe,#NAME?,andi,uchos,ument,ument,kov,wert,icals,idth,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To create an infinite loop in Python, we use while ______.
 Answer: ",Ġ______,ĠTrue,continue,Ġloop,ĠLoop,inha,ĠÐ¼Ð°ÑĪÐ¸Ð½,ĠØ§ÙĦØ¨ÙĬ,itra,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ removes all elements from a list in Python.
 Answer: ",Ġremove,Ġremove,Ġremove,remove,remove,Ã³d,INST,Ġdors,itra,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To sort a dictionary by its keys, we use the function ______.
 Answer: ",Ġsort,Ġsort,Ġsorted,sorted,sorted,sorted,Äįin,Ġdors,ibli,icals,lete,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A ______ is a Python object that supports iteration.
 Answer: ",Ġiterator,Ġiterator,Ġiterable,Ġiterable,Ġiterable,Å¾en,ument,IFF,wert,Ġclassics,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ returns a shallow copy of a list.
 Answer: ",Ġshallow,Ġshallow,Ġshallow,Ġcopying,Ġcopying,rijk,ande,classic,itra,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ method removes a specific item from a set.
 Answer: ",Ġelimination,Ġremoving,Removing,Removing,Removing,Ã³m,íļĮ,ovsky,wert,icals,idth,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To check if a string contains only digits, we use the method ______.
 Answer: ",Ġcontains,Ġcontains,ĠContains,ĠContains,ĠChecks,ĠRegExp,ĠBlitz,Ġdors,wert,icals,idth,íķ©,Ġparadox,ously,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses ______ to pause execution for debugging purposes.
 Answer: ",ĠPython,Ġpause,Pause,#NAME?,ATUS,fÃ¶r,fÃ¶r,IFF,itra,Ġclassics,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ function in Python is used to format a string.
 Answer: ",Ġformat,Ġprint,Ġformatted,Formatting,Formatting,LIN,ovÃŃ,IFF,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A ______ error occurs when dividing by zero in Python.
 Answer: ",ĠZero,ĠValueError,ĠValueError,ĠIndexError,ĠValueError,#NAME?,ovÃŃ,å±±å¸Ĥ,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To read a specific number of characters from a file, we use ______.
 Answer: ",Ġfseek,ĠSeek,Ġfseek,Ġifstream,ReadStream,inha,ÃŃsk,kov,wert,icals,idth,íķ©,Ġparadox,ously,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ is used to replace elements in a list in Python.
 Answer: ",Ġreplace,Ġreplace,Ġslicing,replace,Ġslicing,Ã¤nd,fÃ¶r,Ġdors,itra,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python's ______ module is used for working with dates and times.
 Answer: ",Ġdatetime,Ġdatetime,Ġdatetime,Ġdatetime,ivÄĽ,Äįem,ument,isz,wert,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To install third-party libraries in Python, we use the command ______.
 Answer: ",Ġpip,Ġpip,Ġpip,Ġsetuptools,Ġsetuptools,INSTALL,ument,isz,ibli,icals,idth,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ function in Python creates a list from an iterable.
 Answer: ",Ġmap,Ġlist,#NAME?,ĠRange,Ġlist,Ä¾,INST,ĠØ§ÙĦØ¨ÙĬ,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses ______ to create private class members.
 Answer: ",Ġ__,Ġprivate,private,private,kÅ¯,combe,ument,IFF,itra,Ġclassics,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A ______ in Python is an iterable that returns elements one at a time.
 Answer: ",Ġiterable,Ġiterable,Ġiterable,Ġiterable,Ġiterable,CAA,ument,ĠØ§ÙĦØ¨ÙĬ,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To access a private member in Python, we use the syntax ______.
 Answer: ",ĠTo,Ġself,Ġaccessing,andi,andi,andi,ument,kov,wert,icals,lete,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ checks if all elements in an iterable are True.
 Answer: ",Ġ__,ĠTrue,ÅĽcie,Ġiterable,Ġiterable,Ä¾,ovÃŃ,Ġdors,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ method adds all elements of a list to a set.
 Answer: ",Ġunion,Ġunion,Ġunion,union,Ġunion,íķ©,INST,ĠØ§ÙĦØ¨ÙĬ,wert,icals,idth,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python's ______ keyword is used to define a coroutine.
 Answer: ",Ġyield,Ġcor,Ġfunctools,Ġcoroutine,Coroutine,Å¾en,ument,bv,wert,Ġclassics,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To install Python, we download it from the website ______.
 Answer: ",ĠPython,ĠDownload,ĠDownload,ĠDownload,Ġdownloaded,inha,Äįin,isz,ibli,icals,idth,íķ©,Ġparadox,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses the ______ keyword to return a value from a function.
 Answer: ",Ġreturn,Ġreturn,Ġglobal,#NAME?,Return,Ð³Ð°ÑĢ,ument,classic,itra,icals,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The function ______ is used to list all files in a directory.
 Answer: ",Ġls,Ġfind,Ġreaddir,Ġreaddir,åĳ½ä»¤,omap,ument,isz,wert,icals,lete,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To check the memory address of an object, we use the function ______.
 Answer: ",Ġ__,Ġmalloc,Ġmalloc,Ġmalloc,Ġmalloc,andi,BUR,isz,wert,icals,idth,íķ©,Ġparadox,ously,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ module in Python is used for mathematical operations.
 Answer: ",Ġmodule,Ġmodule,Ġmathematical,Ġmathematics,Ġmathematics,fÃ¶r,fÃ¶r,isz,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python's ______ function evaluates if any elements in an iterable are True.
 Answer: ",Ġ__,ĠTrue,ĠFalse,FALSE,FALSE,ampion,ument,ĠØ§ÙĦØ¨ÙĬ,wert,IBE,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ method returns the index of the first occurrence of a value in a list.
 Answer: ",Ġindex,Ġindex,ĠindexOf,ĠindexOf,ÅĽcie,fÃ¶r,ÅĽcie,classic,wert,icals,idth,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To add comments in Python, we use the symbol ______.
 Answer: ",ĠTo,ĠTo,ĠUse,ÅĽcie,ĠaddTo,andi,ÅĽcie,avin,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python's ______ function returns the maximum value in an iterable.
 Answer: ",Ġmax,Ġmaximum,maximum,Maximum,Maximum,LIN,INST,ĠØ§ÙĦØ¨ÙĬ,wert,icals,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The keyword ______ is used to declare a static method in Python.
 Answer: ",Ġstatic,Ġstatic,#NAME?,andi,Ð½Ð°Ð¼,inha,ument,caa,itra,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To reverse a string in Python, we use slicing with ______.
 Answer: ",Ġreverse,Ġreverse,Ġslicing,Reverse,Reverse,Reverse,ONA,kov,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A variable defined inside a function in Python is called a ______ variable.
 Answer: ",Ġlocal,Ġlocal,Ġglobal,ĠVariable,vari,Ã³m,ument,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ operator is used to perform bitwise AND in Python.
 Answer: ",ĠAND,ĠAND,Ġbitwise,Ġbitwise,Ġbitwise,åªĴ,Ġcommissioner,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ removes a key-value pair from a dictionary.
 Answer: ",Ġremove,Ġremove,Ġremove,remove,remove,ahkan,PAIR,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python’s ______ module is used to work with CSV files.
 Answer: ",Ġcsv,Ġcsv,Ġpandas,Ġcsv,Ġpandas,fÃ¶r,fÃ¶r,isz,itra,Ġclassics,awe,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ appends a new line to a file in Python.
 Answer: ",Ġappend,Ġapp,Ġappend,Ġwrite,ofile,inha,ument,IFF,itra,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To generate a range of numbers, we use the function ______.
 Answer: ",ĠTo,ĠRange,ĠRange,ĠRange,ĠRange,fÃ¶r,ANGE,isz,wert,icals,lete,íķ©,Ġparadox,ously,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python's ______ method converts a set into a list.
 Answer: ",Ġconvert,Ġconvert,Ġconvert,Ġconversion,THON,Ã³m,INST,ilik,wert,icals,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ method in Python is used to convert a list into a set.
 Answer: ",Ġset,Ġset,ĠSet,#NAME?,Ġunion,Ã³m,INST,bv,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To unpack arguments into a function, we use the ______ operator.
 Answer: ",Ġunpack,ĠTo,unpack,andi,andi,andi,Ġsplice,Ġdors,wert,icals,idth,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To unpack keyword arguments into a function, we use the ______ operator.
 Answer: ",Ġunpack,Ġ__,unpack,andi,andi,Å¾en,ument,Ġdors,wert,icals,idth,íķ©,Ġparadox,ously,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python's ______ module is used for creating temporary files.
 Answer: ",Ġtempfile,Ġtemporary,Ġfilesystem,Ġfilesystem,ppo,Å¾en,ument,isz,itra,Ġclassics,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The method ______ joins elements of a list into a string.
 Answer: ",Ġjoin,Ġjoin,Ġjoin,Ġconcatenate,Ġconcatenate,ÃŃch,íļĮ,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses ______ to catch multiple exceptions in a single block.
 Answer: ",ĠPython,ĠPython,ĠCatch,Catch,Ð½Ð°Ð¼,umpt,INST,IFF,itra,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ method removes trailing characters from a string.
 Answer: ",Ġtrim,Ġremove,Ġrtrim,Ġstripping,Ġstripping,Ð»Ð¸Ð½Ð¸,Ġstripping,ĠØ§ÙĦØ¨ÙĬ,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python's ______ module is used to execute system commands.
 Answer: ",Ġos,Ġsubprocess,Ġshell,Ġargparse,Ġargparse,fÃ¶r,ument,IFF,itra,Ġclassics,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ method is used to split a string by line breaks.
 Answer: ",ĠSplit,Ġsplitting,Ġsplitting,Ġsplitting,Ġsplitting,Ġsplitting,OMIC,å±±å¸Ĥ,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A Python package is a collection of ______.
 Answer: ",ĠPython,ĠA,Ġa,packages,zens,zens,zens,isz,itra,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  To convert an object into a string representation, we use the method ______.
 Answer: ",ĠtoString,Ġconvert,ĠToString,to,ÄĽt,inha,Methods,isz,wert,icals,idth,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python uses the ______ method to read binary files.
 Answer: ",ĠPython,Ġbinary,Ġreads,ĠreadFile,ofile,inha,ument,IFF,itra,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ method is used to update multiple keys in a dictionary.
 Answer: ",Ġupdate,Ġupdate,updating,updating,updating,Ã¤nd,ĠBlitz,isz,wert,icals,idth,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A ______ error occurs when accessing a variable that has not been initialized.
 Answer: ",ĠUndefined,ĠA,Ġuninitialized,Ġuninitialized,ĠÐ¾ÑĪÐ¸Ð±,erre,ument,isz,wert,Ġclassics,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ method in Python is used to pop an element from a list by index.
 Answer: ",Ġpop,Ġpop,Ġpop,Ġpop,ĠPython,Ã³m,INST,classic,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Python's ______ module is used to work with command-line arguments.
 Answer: ",Ġargparse,Ġsys,Ġargparse,Ġargparse,Ġargparse,fÃ¶r,ument,isz,wert,IBE,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ______ function in Python returns the quotient and remainder of division.
 Answer: ",Ġquotient,ĠThe,Ġmodulus,ĠDivide,Division,umpt,ĠAPIs,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A Python ______ is used to manage multiple threads.
 Answer: ",Ġmultiprocessing,Ġthreading,Ġthreading,Ġthreading,Ġmultiprocessing,compound,INST,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
