Res,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The keyword used to define a function in Python is ______.
 Answer: ",ĠFunction,ĠFunction,ĠFunction,ĠFunction,ĠNone,ĠFunction,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To get user input in Python, we use the function ______.
 Answer: ",Ġinput,Ġinput,Ġinput,Ġinput,ĠInput,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  In Python, lists are enclosed within ______ brackets.
 Answer: ",Ġbrackets,Ġ(),1,1,1,1,1,1,1,1,1,ĠIn,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A dictionary in Python is defined using ______ brackets.
 Answer: ",Ġ{,Ġ{,Ġ{,Ġ{,1,1,1,1,1,1,1,ĠA,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The operator ______ is used to calculate the remainder in Python.
 Answer: ",Ġmodulo,2,Ġmodulus,Ġremainder,Ġremainder,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To import a module in Python, we use the keyword ______.
 Answer: ",Ġimport,Ġimport,Ġimport,Ġimport,Ġimport,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The loop construct in Python that iterates over items in a sequence is ______.
 Answer: ",Ġwhile,Ġwhile,2,Ġwhile,ĠWhile,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The function ______ is used to iterate over a sequence with indices in Python.
 Answer: ",ĠIterate,ĠThe,2,ĠThe,Ġenumerate,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The keyword ______ is used to handle exceptions in Python.
 Answer: ",ĠException,Ġtry,ĠNone,ĠNone,ĠNone,ĠNone,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses the ______ keyword to exit a loop prematurely.
 Answer: ",Ġwhile,Ġbreak,Ġbreak,ĠNone,ĠNone,ĠNone,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The logical operator in Python for ""and"" is ______.
 Answer: ",Ġand,Ġand,ĠAND,ĠAND,ĠAND,AND,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The keyword ______ is used to declare a variable global in Python.
 Answer: ",1,1,1,1,ĠNone,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ adds an item to the end of a list in Python.
 Answer: ",1,ĠThe,2,ĠThe,Ġlist,Ġlist,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ removes the first occurrence of a specified value in a list.
 Answer: ",1,1,2,2,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses the keyword ______ to define a class.
 Answer: ",Ġ__,Ġ__,Ġ__,ĠNone,ĠNone,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To create a new object in Python, we use the method ______.
 Answer: ",Ġ__,Ġ__,Ġ__,ĠCreate,ĠNone,ĠCreate,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python strings are enclosed in ______ or ______.
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ returns the length of an object in Python.
 Answer: ",1,2,2,1,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To open a file in Python, the function ______ is used.
 Answer: ",Ġopen,Ġopen,Ġopen,Ġopen,ĠFile,ĠFile,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses ______ to indicate a block of code.
 Answer: ",Ġindentation,Ġif,ĠNone,ĠNone,ĠNone,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A tuple in Python is enclosed in ______.
 Answer: ",Ġparentheses,Ġbrackets,Ġbrackets,Ġa,1,1,1,1,1,1,1,ĠA,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To convert a string to an integer, we use the function ______.
 Answer: ",ĠTo,2,2,2,2,2,2,1,1,1,1,1,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ function in Python returns a list of all attributes and methods of an object.
 Answer: ",Ġ__,Ġ__,Ġ__,ĠNone,ĠNone,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ converts a string to lowercase.
 Answer: ",1,1,1,ĠThe,ĠThe,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ splits a string into a list in Python.
 Answer: ",1,ĠThe,1,Ġsplit,2,Ġsplit,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To combine two lists in Python, we use the operator ______.
 Answer: ",Ġconcatenate,2,2,ĠThe,ĠConcat,ĠConcat,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A Python generator is created using the keyword ______.
 Answer: ",Ġgenerator,Ġgenerator,Ġgenerator,ĠNone,ĠNone,1,1,1,1,1,1,ĠA,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To iterate over two sequences simultaneously in Python, we use ______.
 Answer: ",ĠIter,2,2,2,2,2,2,2,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A Python function can return multiple values using ______.
 Answer: ",1,ĠNone,ĠNone,ĠNone,ĠNone,ĠNone,2,2,1,1,1,ĠAnswer,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ replaces occurrences of a substring in a string.
 Answer: ",1,1,ĠRegular,ĠReplace,ĠReplace,ĠReplace,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To raise a number to a power in Python, we use the operator ______.
 Answer: ",ĠMultip,2,2,Ġpower,Ġto,2,2,1,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ keyword is used to define an abstract method in a Python class.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠNone,ĠNone,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses the ______ keyword for conditional execution.
 Answer: ",ĠIf,Ġif,1,ĠNone,ĠNone,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ function in Python creates an immutable set.
 Answer: ",2,2,2,ĠSet,ĠSet,ĠSet,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To check the type of an object in Python, we use the function ______.
 Answer: ",1,1,2,2,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ checks if a string ends with a specified suffix.
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses the function ______ to convert a list into a tuple.
 Answer: ",Ġtuple,2,2,2,Ġlist,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To perform floor division in Python, we use the operator ______.
 Answer: ",Ġmodulo,2,2,Ġdivision,2,2,2,2,1,1,1,ĠThe,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ method is used to add a key-value pair to a dictionary.
 Answer: ",1,2,2,ĠDictionary,ĠDictionary,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To check if a key exists in a dictionary, we use the keyword ______.
 Answer: ",1,1,1,1,1,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ function is used to find the smallest element in a list.
 Answer: ",1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ function sorts a list in ascending order.
 Answer: ",Ġinsertion,1,1,2,Ġsorted,Ġsorted,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The keyword ______ is used to inherit from a parent class.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To convert a string to a float, we use the function ______.
 Answer: ",1,2,2,2,2,2,2,1,1,1,1,1,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A Python script starts execution from the block if __name__ == ""______"":.
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ function in Python is used to generate random numbers.
 Answer: ",1,2,2,ĠRandom,ĠRandom,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The function ______ returns the absolute value of a number in Python.
 Answer: ",1,2,2,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses the ______ function to read all lines from a file.
 Answer: ",ĠFile,ĠFile,ĠFile,ĠFile,ĠRead,ĠRead,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To write to a file in Python, we use the mode ______.
 Answer: ",2,3,2,2,ĠWrite,ĠWrite,ĠWrite,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses ______ to make HTTP requests.
 Answer: ",ĠHTTP,2,ĠHTTP,ĠHTTP,ĠRequest,Ġhttp,ĠHTTP,1,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The function ______ creates a new empty dictionary.
 Answer: ",1,1,1,1,ĠDictionary,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To add a delay in a Python program, we use the method ______.
 Answer: ",Ġwhile,Ġsleep,Ġsleep,ĠNone,ĠNone,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses the ______ method to capitalize the first character of a string.
 Answer: ",1,ĠCapital,1,2,ĠThe,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ removes leading whitespace from a string in Python.
 Answer: ",1,1,1,2,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ operator is used for string concatenation in Python.
 Answer: ",ĠConcat,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To define a lambda function in Python, we use the keyword ______.
 Answer: ",Ġlambda,Ġlambda,Ġlambda,Ġlambda,Ġlambda,ĠFunction,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A Python set does not allow ______ values.
 Answer: ",1,2,2,1,2,1,1,1,1,1,1,ĠA,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ module provides functions for regular expressions.
 Answer: ",ĠRegular,ĠRegular,ĠRegular,2,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To iterate over a dictionary, we use the method ______.
 Answer: ",ĠIterate,1,1,Ġto,1,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ method converts all characters in a string to uppercase.
 Answer: ",1,ĠThe,ĠThe,ĠThe,ĠThe,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ operator checks for object identity in Python.
 Answer: ",1,2,2,Ġequality,ĠNone,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ keyword is used to declare a constant.
 Answer: ",1,1,1,ĠNone,ĠNone,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A Python program ends execution using the method ______.
 Answer: ",ĠKeyboardInterrupt,Ġbreak,2,2,ĠNone,ĠC,1,1,1,1,1,ĠA,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To merge two dictionaries in Python 3.9+, we use the operator ______.
 Answer: ",Ġconcatenate,Ġ__,ĠUnion,Ġ=,Ġ=,Ġ=,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ function is used to dynamically execute Python expressions.
 Answer: ",1,ĠThe,2,2,ĠNone,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses the ______ module for working with JSON.
 Answer: ",ĠJSON,2,ĠJSON,ĠJSON,ĠJSON,2,ĠPython,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To remove duplicate elements from a list, we can convert it to a ______.
 Answer: ",ĠSet,ĠSet,ĠSet,ĠSet,ĠList,2,2,2,1,1,1,2,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The keyword ______ in Python is used for asynchronous programming.
 Answer: ",Ġ__,Ġ__,Ġ__,ĠNone,Ġ__,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The function ______ is used to calculate the sum of elements in an iterable.
 Answer: ",1,Ġsum,2,Ġsum,Ġsum,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses ______ to raise exceptions.
 Answer: ",ĠExceptions,ĠException,ĠRaise,ĠException,ĠNone,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ keyword is used for documentation strings in Python.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠNone,ĠNone,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To create an infinite loop in Python, we use while ______.
 Answer: ",Ġwhile,ĠTrue,ĠTrue,Ġwhile,ĠWhile,ĠWhile,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ removes all elements from a list in Python.
 Answer: ",1,1,2,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To sort a dictionary by its keys, we use the function ______.
 Answer: ",1,Ġsort,Ġsort,Ġsort,Ġsort,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A ______ is a Python object that supports iteration.
 Answer: ",ĠA,ĠA,1,1,1,1,1,1,1,1,1,ĠA,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ returns a shallow copy of a list.
 Answer: ",1,1,1,ĠThe,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ method removes a specific item from a set.
 Answer: ",1,2,2,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To check if a string contains only digits, we use the method ______.
 Answer: ",1,1,1,2,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses ______ to pause execution for debugging purposes.
 Answer: ",ĠBreak,ĠBreak,ĠBreak,ĠBreak,1,1,1,1,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ function in Python is used to format a string.
 Answer: ",1,2,2,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A ______ error occurs when dividing by zero in Python.
 Answer: ",ĠArithmetic,0,0,0,0,1,1,1,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To read a specific number of characters from a file, we use ______.
 Answer: ",1,1,ĠFile,ĠRead,ĠRead,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ is used to replace elements in a list in Python.
 Answer: ",1,1,1,1,Ġlist,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ module is used for working with dates and times.
 Answer: ",Ġdatetime,Ġdatetime,2,2,2,ĠCalendar,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To install third-party libraries in Python, we use the command ______.
 Answer: ",Ġpip,Ġpip,Ġpip,Ġpip,Ġpip,2,ĠC,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ function in Python creates a list from an iterable.
 Answer: ",2,2,2,2,Ġlist,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses ______ to create private class members.
 Answer: ",ĠVariables,Ġ__,Ġprivate,ĠNone,ĠNone,ĠC,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A ______ in Python is an iterable that returns elements one at a time.
 Answer: ",ĠA,2,2,1,1,1,1,1,1,1,1,ĠA,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To access a private member in Python, we use the syntax ______.
 Answer: ",Ġto,Ġ__,Ġ__,Ġto,ĠNone,Ġ=,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ checks if all elements in an iterable are True.
 Answer: ",1,1,2,ĠThe,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ method adds all elements of a list to a set.
 Answer: ",2,2,2,ĠSet,ĠSet,ĠSet,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ keyword is used to define a coroutine.
 Answer: ",Ġ__,Ġ__,Ġ__,ĠNone,ĠNone,ĠC,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To install Python, we download it from the website ______.
 Answer: ",1,1,1,1,2,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses the ______ keyword to return a value from a function.
 Answer: ",Ġ__,ĠNone,ĠNone,ĠNone,ĠNone,ĠNone,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The function ______ is used to list all files in a directory.
 Answer: ",2,2,2,ĠDirectory,ĠDirectory,ĠDirectory,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To check the memory address of an object, we use the function ______.
 Answer: ",1,2,2,2,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ module in Python is used for mathematical operations.
 Answer: ",ĠArithmetic,2,2,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ function evaluates if any elements in an iterable are True.
 Answer: ",Ġ__,2,2,ĠNone,ĠNone,ĠTrue,1,1,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ method returns the index of the first occurrence of a value in a list.
 Answer: ",1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To add comments in Python, we use the symbol ______.
 Answer: ",1,ĠTo,2,Ġto,ĠTo,2,1,1,1,1,1,ĠThe,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ function returns the maximum value in an iterable.
 Answer: ",Ġ__,2,2,2,2,2,2,1,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The keyword ______ is used to declare a static method in Python.
 Answer: ",1,ĠThe,ĠThe,ĠNone,ĠNone,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To reverse a string in Python, we use slicing with ______.
 Answer: ",1,1,Ġslicing,1,1,1,2,2,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A variable defined inside a function in Python is called a ______ variable.
 Answer: ",ĠFunction,1,1,1,1,1,1,1,1,1,1,ĠA,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ operator is used to perform bitwise AND in Python.
 Answer: ",2,2,2,0,0,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ removes a key-value pair from a dictionary.
 Answer: ",1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python’s ______ module is used to work with CSV files.
 Answer: ",2,2,2,ĠRead,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ appends a new line to a file in Python.
 Answer: ",1,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To generate a range of numbers, we use the function ______.
 Answer: ",1,1,1,1,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ method converts a set into a list.
 Answer: ",2,2,2,2,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ method in Python is used to convert a list into a set.
 Answer: ",2,2,2,2,2,ĠSet,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To unpack arguments into a function, we use the ______ operator.
 Answer: ",Ġinfix,ĠThe,ĠThe,ĠFunction,ĠFunction,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To unpack keyword arguments into a function, we use the ______ operator.
 Answer: ",Ġinfix,ĠThe,ĠThe,ĠThe,ĠThe,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ module is used for creating temporary files.
 Answer: ",ĠFile,2,2,ĠFile,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ joins elements of a list into a string.
 Answer: ",ĠConcat,1,ĠThe,ĠThe,ĠThe,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses ______ to catch multiple exceptions in a single block.
 Answer: ",Ġtry,Ġtry,Ġtry,Ġtry,ĠNone,ĠNone,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ method removes trailing characters from a string.
 Answer: ",ĠConcat,1,1,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ module is used to execute system commands.
 Answer: ",Ġinterpreter,2,2,Ġshell,Ġshell,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ method is used to split a string by line breaks.
 Answer: ",ĠThe,ĠThe,ĠThe,Ġsplit,2,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A Python package is a collection of ______.
 Answer: ",ĠFunctions,1,1,1,1,1,1,1,1,1,1,ĠA,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To convert an object into a string representation, we use the method ______.
 Answer: ",ĠtoString,2,2,ĠTo,ĠTo,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses the ______ method to read binary files.
 Answer: ",ĠBinary,ĠBinary,ĠBinary,ĠBinary,ĠRead,ĠRead,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ method is used to update multiple keys in a dictionary.
 Answer: ",2,2,2,ĠDictionary,ĠDictionary,2,2,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A ______ error occurs when accessing a variable that has not been initialized.
 Answer: ",1,1,1,1,ĠA,1,1,1,1,1,ĠA,ĠA,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ method in Python is used to pop an element from a list by index.
 Answer: ",2,2,2,2,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ module is used to work with command-line arguments.
 Answer: ",ĠArgument,2,2,2,2,2,ĠPython,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ______ function in Python returns the quotient and remainder of division.
 Answer: ",ĠRemain,2,2,Ġremainder,2,2,2,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A Python ______ is used to manage multiple threads.
 Answer: ",ĠMultip,ĠMultip,Ġmultiprocessing,Ġmultiprocessing,Ġmultiprocessing,2,2,2,1,1,1,ĠA,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ converts a float to an integer in Python.
 Answer: ",1,2,2,2,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python uses the ______ method to remove duplicates from a string.
 Answer: ",1,2,1,2,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The function ______ returns the ASCII value of a character in Python.
 Answer: ",1,1,2,2,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ function converts an ASCII value to a character.
 Answer: ",ĠASCII,2,2,2,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To define an infinite iterator in Python, we use the ______ module.
 Answer: ",Ġ__,Ġ__,Ġ__,ĠNone,Ġ__,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Python's ______ function is used to shuffle a list.
 Answer: ",ĠRandom,ĠRandom,2,ĠRandom,ĠRandom,Ġshuffle,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  To copy a file in Python, we use the ______ module.
 Answer: ",ĠFile,2,Ġshutil,ĠFile,ĠFile,ĠFile,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The method ______ checks if a string starts with a specified prefix.
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
