Question,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
" The operator ______ is used to calculate the remainder in Python.
 Answer: ",Ġ%,Ġmod,Ġmod,Ġ%,Ġoperator,Ġ%,Ġoperator,Ġmod,ĠMod,Ġoperator,Ġmodulo,Division,Ġdivision,Ġmodulo,nnen,isel,tember,ecera,ĠSab,chg,ssp,UnitTest,'gc,STYPE,ibri,Ġstolen,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To import a module in Python, we use the keyword ______.
 Answer: ",Ġimport,Ġimport,Ġimport,Ġimport,Ġimport,Ġimport,Ġimport,Ġimport,Ġimport,Ġimport,Ġimport,Ġimport,Ġimporting,dued,Ġimporting,ussy,ekk,Ġcirc,Uvs,******/,Uvs,UnitTest,'gc,ĠIsl,ibri,Ġstolen,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The loop construct in Python that iterates over items in a sequence is ______.
 Answer: ",Ġfor,Ġfor,1,ĠFor,Ġfor,Ġwhile,Ġwhile,Ġloop,Ġloop,Ġloop,orest,Ġloop,Ġloop,Ġloop,Ġloop,Ġnone,'gc,HeaderCode,Uvs,acha,logradouro,UnitTest,'gc,STYPE,ibri,Ġstolen,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The function ______ is used to iterate over a sequence with indices in Python.
 Answer: ",Ġenumerate,Ġrange,Ġrange,Ġrange,Ġrange,Ġenumerate,Ġenumerate,Ġenumerate,Ġenumerate,Ġenumerate,Ġenumerate,Ġenumerate,Ġenumerate,Ġenumerate,isel,onest,ounty,ounty,ĠSab,chg,ssp,UnitTest,/Area,STYPE,ibri,Ġstolen,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The keyword ______ is used to handle exceptions in Python.
 Answer: ",Ġtry,Ġtry,Ġtry,Ġtry,Ġtry,Ġtry,Ġexcept,Ġexcept,Ġfinally,Ġtry,Ġtry,keywords,Ġtry,ī,illos,ĠShields,tember,ĠSab,ĠSab,ãĤ·ãĥ¼,ssp,UnitTest,/request,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python uses the ______ keyword to exit a loop prematurely.
 Answer: ",Ġbreak,Ġbreak,Ġbreak,Ġbreak,Ġbreak,Ġbreak,Ġbreak,Ġbreak,Ġbreak,Ġbreak,Ġbreak,keywords,Ġexit,Ġexit,Ġexit,äººåĵ¡,hsi,Textbox,ĠField,******/,logradouro,#ab,#NAME?,witter,ibri,Ġstolen,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The logical operator in Python for ""and"" is ______.
 Answer: ",Ġand,Ġand,andal,ĠAND,ĠAND,Ġ&&Ċ,ĠAND,ĠAND,ĠAND,ĠAND,AND,ĠAND,ĠAND,ī,Ġcin,presso,presso,ktop,ĠSab,ĠBrace,logradouro,UnitTest,/Area,STYPE,ibri,Ġstolen,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The keyword ______ is used to declare a variable global in Python.
 Answer: ",Ġglobal,Ġglobal,Ġglobal,Ġglobal,Ġglobals,Ġglobal,Ġglobal,Ġglobal,Ġglobal,Ġglobal,Ġglobal,.globalData,globals,Ġglobal,clare,isel,mae,ĠSab,ĠSab,chg,ssp,UnitTest,#NAME?,ãĤ¯ãĤ·ãĥ§ãĥ³,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The method ______ adds an item to the end of a list in Python.
 Answer: ",Ġappend,Ġapp,Ġappend,Ġappend,Ġappend,Ġappend,Ġappend,Ġappend,Ġappend,Ġappend,Ġappend,ulumi,ulumi,Ġmethod,Ġaddition,ulumi,ulumi,aData,ĠSab,chg,ssp,UnitTest,'gc,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The method ______ removes the first occurrence of a specified value in a list.
 Answer: ",ĠThe,Ġpop,Ġpop,Ġpop,Ġpop,Ġpop,.pop,Ġremove,Ġremove,Ġremove,Ġremove,Ġremove,ī,ī,Ġremove,ÑĢÐ¾Ð³,'gc,aData,'gc,******/,ssp,UnitTest,'gc,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python uses the keyword ______ to define a class.
 Answer: ",Ġclass,Ġclass,Ġclass,Ġclass,Ġclass,Ġclass,Ġclass,Ġdef,Ġclass,Ġclass,Ġdef,leccion,dued,leccion,leccion,hdl,hsi,Ġac,ãĤ·ãĥ£ãĥ«,ãĤ·ãĥ¼,ssp,Ġmint,Ð¦Ðµ,witter,ibri,FIELDS,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To create a new object in Python, we use the method ______.
 Answer: ",Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,Ġ__,leccion,leccion,dued,Å¡ak,.LoggerFactory,egie,specialchars,Uvs,Uvs,Uvs,Uvs,#ab,'gc,STYPE,ibri,adera,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python strings are enclosed in ______ or ______.
 Answer: ",Ġsingle,Ġsingle,Ġsingle,Ġsingle,Ġsingle,Ġquotes,Ġquotation,Ġquotation,Ġquotation,Ġquotation,Ġquotation,Ġquotation,Ġquotation,Ġeither,illos,nnen,presso,cretion,ãĤ·ãĥ£ãĥ«,ous,Uvs,'gc,#NAME?,witter,'gc,FIELDS,ULSE,adera,'gc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The method ______ returns the length of an object in Python.
 Answer: ",Ġlen,Ġlen,Ġlen,Ġlen,Ġlen,Ġlen,Ġlen,Ġlen,Ġlen,Ġlen,Ġlen,Ġlen,Ġlength,ickness,asure,quests,asure,ecera,ĠSab,chg,ssp,UnitTest,/Area,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To open a file in Python, the function ______ is used.
 Answer: ",Ġopen,Ġopen,Ġopen,Ġopen,Ġopen,Ġopen,Ġopen,Ġopen,Ġopen,Ġopen,Ġopen,Ġopen,Ġopen,GenerationStrategy,Ġopen,ocz,avaÅŁ,aData,Uvs,******/,Uvs,UnitTest,'gc,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" Python uses ______ to indicate a block of code.
 Answer: ",ĠInd,Ġcolon,Ġcolon,Ġcolon,Ġcolon,Indent,Ġind,ĠPython,Indent,Indent,Indent,Indent,Indent,onse,Î¼Î¼,hdl,gfx,ÙĨØ³Ø§,ĠWelch,umer,ssp,'gc,#NAME?,witter,'gc,FIELDS,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" A tuple in Python is enclosed in ______.
 Answer: ",ĠA,Ġ(),Ġbr,Ġround,Ġround,Ġ()čĊ,Ġbraces,Ġquotation,Ġquotation,Ġbraces,Ġbraces,Ġquote,Ġquote,egal,bare,Å¡ak,ukan,aData,Uvs,#ad,Uvs,UnitTest,'gc,STYPE,'gc,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To convert a string to an integer, we use the function ______.
 Answer: ",Ġint,Ġint,Ġint,Ġint,Ġint,Ġint,Ġint,Ġint,Ġint,Ġint,Ġatoi,HeaderCode,Ġconversions,Ġconversion,ī,egal,'gc,acen,Uvs,acha,Uvs,#ab,'gc,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The ______ function in Python returns a list of all attributes and methods of an object.
 Answer: ",Ġdir,Ġdir,Ġdir,Ġdir,Ġdir,Ġdir,Ġdir,Ġdir,Ġ__,Ġhasattr,Ġdir,¯u,¯u,¯u,isel,isel,ktop,Uvs,'gc,chg,ssp,UnitTest,ÏĦÎµÎ¹,ibar,ibri,Ġstolen,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The method ______ converts a string to lowercase.
 Answer: ",1,Ġlower,Ġlower,Ġlower,Ġlower,Ġlower,Ġlower,Ġlower,Ġlower,Ġlower,Ġlower,_funcs,ittings,Ġcapital,'gc,egie,'gc,ĠSab,'gc,ekil,UnitTest,UnitTest,'gc,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The method ______ splits a string into a list in Python.
 Answer: ",Ġsplit,Ġstr,Ġsplit,Ġsplit,Ġsplit,Ġsplit,Ġsplit,Ġsplit,Ġsplit,Ġsplit,Ġsplit,Ġsplit,Ġsplit,Ġsplit,Ġquot,bsp,Ġcrack,mmc,ĠSab,chg,ssp,UnitTest,'gc,STYPE,'gc,Ġstolen,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To combine two lists in Python, we use the operator ______.
 Answer: ",Ġzip,Ġoperator,Ġoperator,Ġoperator,Ġoperator,Ġoperator,Ġoperator,Ġunion,Ġunion,Ġunion,Ġunion,Ġunion,dued,ipop,Ġunion,_clip,å¤§åħ¨,izons,Uvs,ĠBrace,Uvs,UnitTest,'gc,STYPE,ibri,adera,ULSE,adera,'gc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" A Python generator is created using the keyword ______.
 Answer: ",Ġyield,Ġyield,Ġyield,Ġdef,Ġdef,Ġyield,Ġyield,Ġdef,Ġdef,Ġdef,Ġdef,Ġdef,dued,ehler,ehler,ìłĿ,hsi,ktop,Uvs,ĠBrace,Uvs,#ab,Ð¦Ðµ,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To iterate over two sequences simultaneously in Python, we use ______.
 Answer: ",Ġzip,Ġzip,Ġzip,Ġzip,Ġzip,Ġzip,Ġzip,Ġzip,Ġzip,Ġzip,Ġzip,Ġzip,Ġzip,Ġzip,Ġloop,presso,'gc,Ġcirc,ĠSab,ĠBrace,Uvs,UnitTest,ÏĦÎµÎ¹,STYPE,ibri,adera,ULSE,adera,'gc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" A Python function can return multiple values using ______.
 Answer: ",ĠA,Ġtuple,ĠTuple,Ġtuple,Tuple,Tuple,Tuple,Tuple,Tuple,Ġreturn,Ġreturn,Ġreturn,Ġreturn,UrlParser,Ġreturn,à¹Īà¸Ńà¸¢,à¹Īà¸Ńà¸¢,ktop,Uvs,ĠBrace,Uvs,UnitTest,.Undef,ibar,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The method ______ replaces occurrences of a substring in a string.
 Answer: ",ĠThe,Ġreplace,Ġreplace,Ġreplace,Ġreplace,Ġreplace,Ġreplace,Ġreplace,Ġreplace,Ġreplace,Ġreplace,Ġreplace,Ġreplace,ĠUPDATED,isel,egie,ÑĢÐ¾Ð³,ecera,'gc,******/,ssp,UnitTest,'gc,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To raise a number to a power in Python, we use the operator ______.
 Answer: ",Ġ**,ĠEx,Ġ**),Ġ**),Ġraised,Ġraised,ĠaddCriterion,Ġpower,Ġraised,Ġraised,Ġraised,ĠPowers,Ġpower,ī,ī,egie,Ã´t,izons,Uvs,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,Uvs,UnitTest,'gc,STYPE,ibri,adera,ULSE,adera,'gc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The ______ keyword is used to define an abstract method in a Python class.
 Answer: ",Ġabstract,Ġabstract,Ġabstract,Ġdef,Ġabstract,Ġdef,Ġabstract,Ġabstract,Ġabstract,Ġabstract,Ġdef,Ġdef,Ġdef,clare,isel,isel,presso,ecera,Uvs,ekil,ssp,UnitTest,ĠKrank,ãĤ¯ãĤ·ãĥ§ãĥ³,ibri,Ġstolen,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python uses the ______ keyword for conditional execution.
 Answer: ",Ġif,Ġif,Ġif,Ġif,Ġif,Ġif,Ġif,Ġif,Ġif,Ġif,Ġif,Ġbranching,Ġgoto,Ġgoto,ī,hdl,tember,",},Ċ",ĠField,******/,logradouro,#ab,#NAME?,witter,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The ______ function in Python creates an immutable set.
 Answer: ",ĠThe,Ġfro,Ġfro,Ġfro,Ġfro,Ġfro,Ġfro,Ġfro,Ġfro,iset,immutable,ĠSets,ī,GenerationStrategy,.LoggerFactory,ksam,377,izons,ĠSab,ãĤ·ãĥ¼,ssp,UnitTest,ÏĦÎµÎ¹,STYPE,ibri,Ġstolen,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To check the type of an object in Python, we use the function ______.
 Answer: ",Ġtype,Ġtype,Ġtype,Ġtype,Ġisinstance,Ġisinstance,Ġisinstance,Ġisinstance,Ġtype,Ġtype,Ġtype,Ġisinstance,Ġisinstance,ismet,ĠBlasio,Å¡ak,Å¡ak,Uvs,Uvs,ĠBrace,Uvs,#ab,Ð»ÑĸÑĤ,STYPE,ibri,adera,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The method ______ checks if a string ends with a specified suffix.
 Answer: ",ĠThe,Ġends,Ġends,Ġends,Ġends,Ġends,Ġends,Ġends,Ġends,Ġends,Ġending,Ġends,æľ«,æľ«,æľ«,TestingModule,lech,aData,'gc,******/,ssp,UnitTest,'gc,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python uses the function ______ to convert a list into a tuple.
 Answer: ",Ġtuple,Ġtuple,Ġtuple,Ġtuple,Ġtuple,ĠPyTuple,ĠPyTuple,ĠPyTuple,ĠPyTuple,Ġbuilt,Ġconversions,Ġconversions,Ġconversions,Ġconversion,Ġconversion,Ġtrot,Ġcovert,ĠíĥĦ,ĠField,ãĤ·ãĥ¼,ssp,Sharper,.Undef,witter,'gc,FIELDS,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To perform floor division in Python, we use the operator ______.
 Answer: ",Ġ//,Ġ//,Ġ//,ĠDivision,ĠFloor,Ġfloor,Ġfloor,Ġfloor,Ġdivision,Ġdivision,dued,Division,Ġdivision,URLException,ī,ioned,presso,ktop,Uvs,ĠBrace,Uvs,#ab,'gc,STYPE,ibri,adera,ULSE,adera,'gc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The ______ method is used to add a key-value pair to a dictionary.
 Answer: ",Ġappend,Ġupdate,Ġupdate,Ġupdate,Ġupdate,Ġupdate,Ġupdate,Ġpop,Ġupdate,Ġupdate,ī,ī,ī,ī,isel,isel,presso,aData,'gc,ekil,ÑĤÐ¾Ñİ,UnitTest,'gc,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To check if a key exists in a dictionary, we use the keyword ______.
 Answer: ",Ġin,Ġ',Ġkeys,ĠUsing,Ġexists,Ġexists,ĠKeys,ĠKeys,ĠKeys,ĠKeys,Ġkeys,Ġkeys,ĠKeyError,Ġexists,isel,isel,presso,Uvs,Uvs,acha,Uvs,#ab,'gc,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The ______ function is used to find the smallest element in a list.
 Answer: ",Ġmin,Ġmin,Ġmin,Ġmin,Ġmin,Ġmin,Ġmin,Ġmin,Ġmin,Ġmin,Ġmin,ī,ī,ī,ī,utive,presso,'gc,'gc,******/,ÑĤÐ¾Ñİ,Ġstag,.scalablytyped,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python's ______ function sorts a list in ascending order.
 Answer: ",Ġsorted,Ġsort,Ġsort,Ġsort,Ġsort,.sort,.sort,Ġsorted,Ġsorted,Ġsorted,Ġsorted,Ġsorted,Ġsorted,ī,ī,ĠCrane,ÑĮÐµ,.nih,ĠSab,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,Ġnone,'gc,.semantic,'gc,'gc,Ġstolen,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The keyword ______ is used to inherit from a parent class.
 Answer: ",ĠThe,Ġsuper,Ġsuper,Ġextends,Ġextends,Ġinherit,Ġinherit,ç»§,ç»§,ç»§,ĠHeritage,keywords,ç»§,leccion,isel,ereo,mae,ĠSab,ĠSab,ãĤ·ãĥ¼,ssp,UnitTest,ÏĦÎµÎ¹,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To convert a string to a float, we use the function ______.
 Answer: ",Ġfloat,Ġfloat,Ġfloat,Ġfloat,Ġfloat,Ġfloat,Ġfloat,Ġfloat,Ġfloat,Ġfloat,Ġfloat,Ġconversions,Ġconversions,Ġconversions,ī,egal,iez,acen,Uvs,acha,Uvs,#ab,'gc,STYPE,ibri,adera,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" A Python script starts execution from the block if __name__ == ""______"":.
 Answer: ",Ġmain,Ġ__,Ġmain,Ġmain,Ġmain,Ġ__,Ġ__,Ġ__,Ġ__,Ġmain,egal,egal,egal,egal,egal,ersist,ukan,cretion,à¸±à¸ģà¹Ģà¸£,acha,ssp,UnitTest,'gc,FIELDS,ibri,FIELDS,ICAST,adera,otel,ĠkonkrÃ©t,'gc,_mux,íĨ¤
" The ______ function in Python is used to generate random numbers.
 Answer: ",Ġrandom,Ġrandom,Ġrandom,Ġrandom,Ġrandom,Ġrandom,Ġrandom,Ġrandom,Ġrandom,Ġrandom,Ġbuilt,ĠaddCriterion,ĠaddCriterion,ĠaddCriterion,Ġbuilt,ksam,å¤§åħ¨,ÙĨØ³Ø§,ĠSab,ekil,ssp,UnitTest,'gc,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The function ______ returns the absolute value of a number in Python.
 Answer: ",Ġabs,Ġabs,Ġabs,Ġabs,Ġabs,Ġabs,Ġabs,Ġabs,Ġabs,Ġabs,Ġabs,PostalCodes,PostalCodes,ī,ī,Å¡ak,#NAME?,izons,ĠSab,chg,UnitTest,UnitTest,/Area,STYPE,ibri,Ġstolen,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python uses the ______ function to read all lines from a file.
 Answer: ",Ġread,Ġread,Ġread,Ġread,Ġread,Ġread,Ġread,Ġread,Ġread,Ġlines,219,Ġ)ĊĊĊĊĊĊĊĊ,ĠaddCriterion,219,Ġreading,iyan,.GetText,ÙĨØ³Ø§,ĠWelch,ecera,logradouro,#ab,#NAME?,STYPE,'gc,FIELDS,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To write to a file in Python, we use the mode ______.
 Answer: ",Ġw,Ġw,Ġw,Ġ',_WRONLY,_WRONLY,Ġmode,Ġmode,ĠFileMode,ĠFileMode,ĠFileMode,ĠFileMode,ĠFileMode,_WRONLY,isel,Å¡ak,ssp,Uvs,Uvs,ĠBrace,Uvs,UnitTest,'gc,STYPE,ibri,Ġstolen,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python uses ______ to make HTTP requests.
 Answer: ",Ġrequests,Ġrequests,Ġrequests,Ġrequests,Ġrequests,Ġrequests,Ġrequests,Ġrequests,Ġrequests,Ġrequests,Ġrequests,istrovstvÃŃ,dued,exels,exels,ÐĽÐ¬,uten,äºŃ,ĠSab,bare,ssp,'gc,'gc,witter,'gc,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The function ______ creates a new empty dictionary.
 Answer: ",Ġdict,Ġdict,Ġdict,Ġdict,Ġdict,Ġdict,Ġempty,Ġdict,Ġempty,Ġempty,LEAR,ī,ī,'gc,'gc,onest,Ġpo,ecera,ĠSab,ãĤ·ãĥ¼,UnitTest,UnitTest,'gc,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To add a delay in a Python program, we use the method ______.
 Answer: ",Ġtime,Ġtime,Ġtime,Ġtime,Ġtime,Ġtime,Ġtime,Ġsleep,Ġsleep,Ġsleep,Ġsleep,Ġsleep,¯u,ksam,ksam,inel,acen,acen,Uvs,ĠBrace,Uvs,#ab,Ð»ÑĸÑĤ,ategories,ibri,Ġstolen,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python uses the ______ method to capitalize the first character of a string.
 Answer: ",Ġcapitalize,Ġupper,Ġupper,Ġupper,Ġtitle,Ġupper,Ġupper,Ġupper,Ġupper,Ġcapitalized,Ġcapitalized,capitalize,Ġcapital,Ġcapital,#NAME?,Ħĸ,ecera,ecera,ĠWelch,ãĤ·ãĥ¼,ssp,#ab,#NAME?,STYPE,'gc,Ġstolen,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The method ______ removes leading whitespace from a string in Python.
 Answer: ",Ġstrip,Ġstrip,Ġstrip,Ġstrip,Ġstrip,Ġstrip,Ġstrip,Ġstrip,Ġstrip,Ġstrip,HeaderCode,ĠTrim,ĠTrim,DataExchange,quests,Ġlan,.onView,ecera,ĠSab,chg,ssp,UnitTest,'gc,STYPE,ibri,Ġstolen,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The ______ operator is used for string concatenation in Python.
 Answer: ",ĠThe,Ġ+,Ġoperator,Ġoperator,Ġ+,Ġ+,ĠaddCriterion,Ġoperator,Ġjoining,Ġbuilt,Ġdash,dued,dued,DataExchange,isel,isel,ĠLeone,aData,'gc,ekil,ssp,UnitTest,'gc,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To define a lambda function in Python, we use the keyword ______.
 Answer: ",Ġlambda,Ġlambda,Ġlambda,Ġlambda,Ġlambda,Ġlambda,Ġdef,Ġdef,Ġdef,Ġdef,Ġdef,Ġdef,dued,ĠaddCriterion,ī,Å¡ak,hsi,ktop,Uvs,ĠBrace,Uvs,UnitTest,Ð»ÑĸÑĤ,STYPE,ibri,Ġstolen,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" A Python set does not allow ______ values.
 Answer: ",ĠA,Ġduplicate,Ġduplicate,ĠNone,ĠNone,ĠNone,Ġduplicate,ĠNone,ĠNone,ĠNone,Ġ,Ġduplic,ĠNone,ĠNone,Ġnone,Ġuns,_codegen,.resp,ĠSab,ÑĢÑĥÐ½,ssp,UnitTest,interop,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python's ______ module provides functions for regular expressions.
 Answer: ",Ġre,Ġre,Ġre,Ġre,Ġre,Ġre,Ġre,Ġre,Ġbuilt,Ġimport,Ġbuilt,Ġbuilt,PostalCodes,ksam,Ġbuilt,assin,ÑĮÐµ,uten,'gc,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,ssp,'gc,.semantic,'gc,'gc,Ġstolen,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To iterate over a dictionary, we use the method ______.
 Answer: ",Ġitems,Ġitems,Ġitems,items,Ġkeys,ĠKeys,ĠKeys,ĠKeys,Ġkeys,Ġkeys,Ġkeys,Ġkeys,Ġloop,ĠaddCriterion,isel,isel,'gc,Ġcirc,Uvs,ĠBrace,Uvs,#ab,'gc,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The ______ method converts all characters in a string to uppercase.
 Answer: ",1,Ġupper,Ġupper,Ġupper,Ġupper,Ġupper,Ġupper,Ġupper,Ġupper,Ġupper,Ġconversions,ī,ksam,Ġcapital,#NAME?,egie,ÑĢÐ¾Ð³,aData,'gc,ekil,ssp,UnitTest,'gc,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The ______ operator checks for object identity in Python.
 Answer: ",Ġis,Ġis,Ġis,Ġid,#NAME?,Ġ==Ċ,ĠNone,ĠNone,ĠNone,ĠNone,Ġisinstance,egal,aget,ĠNone,ĠFame,ksam,mae,mmc,ĠSab,ĠBrace,logradouro,UnitTest,Ã¶m,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python's ______ keyword is used to declare a constant.
 Answer: ",ĠUsing,Ġ__,ĠNone,ĠNone,Ġconstants,ĠConstants,ĠNone,ÐĽÐ¬,egie,Ġdef,ksam,constants,ĠConst,Ġconstants,Ġconstants,dge,gfx,ableObject,ĠSab,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,logradouro,'gc,'gc,witter,'gc,Ġstolen,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" A Python program ends execution using the method ______.
 Answer: ",Ġexit,Ġsys,Ġsys,Ġexit,Ġexit,Ġexit,Ġexit,Ġexit,Ġexit,Ġexit,Ġexit,ĠEXIT,ĠEXIT,Ġexit,Ġexit,hsi,hsi,ktop,Uvs,ĠBrace,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,UnitTest,.Undef,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To merge two dictionaries in Python 3.9+, we use the operator ______.
 Answer: ",Ġunion,ĠChain,ĠPipe,Ġ|Ċ,Ġ|=,Ġ|=,Ġwal,Ġwal,KeyName,KeyName,Ġunion,KeyName,Ġunion,ĠåĲĪ,atel,atel,atel,izons,Uvs,ĠBrace,Uvs,UnitTest,'gc,ãĤ¯ãĤ·ãĥ§ãĥ³,ibri,adera,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The ______ function is used to dynamically execute Python expressions.
 Answer: ",Ġeval,Ġexec,Ġeval,Ġeval,Ġeval,Ġeval,Ġeval,Ġeval,Ġeval,Ġeval,HeaderCode,HeaderCode,ĠEVAL,ī,isel,isel,tember,ecera,ĠSab,ekil,ssp,UnitTest,ÏĦÎµÎ¹,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Python uses the ______ module for working with JSON.
 Answer: ",Ġjson,Ġjson,Ġjson,Ġjson,Ġjson,Ġjson,Ġjson,Ġjson,ĠJSON,Ġimport,Ġimport,leccion,leccion,strand,Ġbuilt,Å¡ak,ukan,ĠBus,ĠSab,ecera,ssp,#ab,.Undef,witter,ibri,Ġstolen,ULSE,adera,osg,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" To remove duplicate elements from a list, we can convert it to a ______.
 Answer: ",1,ĠSet,Ġset,Ġset,Ġset,Ġset,Ġset,Ġset,ī,dued,URLException,URLException,URLException,ī,ī,presso,presso,Uvs,Uvs,acha,Uvs,#ab,'gc,à¹Įà¹Ģà¸Ļ,ibri,adera,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
